regionCode,region,icuTotal,lastUpdated
1,Burgenland,87,1587909049
2,Kärnten,175,1587909049
3,Niederösterreich,394,1587909049
4,Oberösterreich,377,1587909049
5,Salzburg,181,1587909049
6,Steiermark,395,1587909049
7,Tirol,218,1587909049
8,Vorarlberg,81,1587909049
9,Wien,723,1587909049
