region,icuTotal,lastUpdated
Abruzzo,109,1586020295
Basilicata,49,1586020295
Calabria,153,1586020295
Campania,506,1586020295
Emilia Romagna,449,1586020295
Friuli Venezia Giulia,127,1586020295
Lazio,557,1586020295
Liguria,186,1586020295
Lombardia,859,1586020295
Marche,115,1586020295
Molise,31,1586020295
Piemonte,317,1586020295
Trentino Alto Adige,72,1586020295
Puglia,302,1586020295
Sardegna,123,1586020295
Sicilia,392,1586020295
Toscana,377,1586020295
Umbria,70,1586020295
Valle d'Aosta,12,1586020295
Veneto,487,1586020295
