regionCode,region,icuTotal,lastUpdated
1,Burgenland,87,1587909127
2,Kärnten,175,1587909127
3,Niederösterreich,394,1587909127
4,Oberösterreich,377,1587909127
5,Salzburg,181,1587909127
6,Steiermark,395,1587909127
7,Tirol,218,1587909127
8,Vorarlberg,81,1587909127
9,Wien,723,1587909127
